id,count,avg_rating,avg_weighted_rating,popular_lens,popular_lens_count,best_photo_rating,best_photo_num_ratings,best_photo_catalog_number,best_photo_bird,best_photo_photographer,best_photo_year,best_photo_link,brand,name,cost,megapixels
Canon EOS Rebel T7,2,4.95,2.73,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,2.0,4.9,31,400424461,Pin-tailed Sandgrouse,Alejandro Sanz,2020,https://macaulaylibrary.org/asset/400424461,Canon,EOS Rebel T7,300.0,24.1
Panasonic Lumix DMC-FZ70,2,4.43,2.77,,,4.19,111,87698681,Southern House Wren,Carlos D'Angelo,2015,https://macaulaylibrary.org/asset/87698681,Panasonic,Lumix DMC-FZ70,200.0,16.1
Sony Alpha 77 II,2,4.8,2.92,70-300mm F4-5.6 SSM,1.0,4.73,73,94379711,Pileated Woodpecker,Alan Hingston,2018,https://macaulaylibrary.org/asset/94379711,Sony,Alpha 77 II,500.0,24.3
Sony Alpha SLT-A65,2,4.62,2.49,150-600mm F5-6.3 SSM,2.0,4.55,31,171366201,White-headed Pigeon,Peter & Shelly Watts,2018,https://macaulaylibrary.org/asset/171366201,Sony,Alpha SLT-A65,200.0,24.3
Canon EOS Rebel SL3,2,4.86,3.15,EF70-300mm f/4-5.6 IS II USM,1.0,4.9,61,518020801,Brown Pelican,Jill Casperson,2022,https://macaulaylibrary.org/asset/518020801,Canon,EOS Rebel SL3,400.0,24.1
Canon EOS Rebel SL3,2,4.86,3.15,EF70-300mm f/4-5.6 IS II USM,1.0,4.9,61,518020801,Brown Pelican,Jill Casperson,2022,https://macaulaylibrary.org/asset/518020801,Canon,EOS Rebel SL3,500.0,24.1
Nikon D3100,2,4.8,2.59,150.0-600.0 mm f/5.0-6.3,1.0,4.92,25,613126832,Waved Albatross,Gabriel Pulgar Guardiola,2024,https://macaulaylibrary.org/asset/613126832,Nikon,D3100,200.0,14.2
Nikon D300S,2,4.8,2.72,300.0 mm f/4.0,1.0,4.73,37,95041301,Secretarybird,Kurt Hennige,2018,https://macaulaylibrary.org/asset/95041301,Nikon,D300S,200.0,12.3
Sony Alpha SLT-A77,2,4.89,2.88,70-400mm F4-5.6 G SSM,1.0,4.91,53,455960091,Seaside Sparrow,Maxwell Ramey,2022,https://macaulaylibrary.org/asset/455960091,Sony,Alpha SLT-A77,400.0,24.3
Canon PowerShot G3 X,2,4.89,2.68,8.8-220.0 mm,1.0,4.92,36,204918521,Hazel Grouse,Ruslan  Kirillin,2018,https://macaulaylibrary.org/asset/204918521,Canon,PowerShot G3 X,300.0,20.2
Canon EOS 50D,2,4.96,2.79,EF70-200mm f/2.8L IS USM +1.4x,1.0,4.93,44,242934571,Black-browed Albatross,Kent Warner,2020,https://macaulaylibrary.org/asset/242934571,Canon,EOS 50D,150.0,15.1
Canon EOS 400D,2,4.96,3.16,,,4.97,60,62216621,Yellow-bellied Tanager,Oscar Johnson,2015,https://macaulaylibrary.org/asset/62216621,Canon,EOS 400D,25.0,10.1
Nikon D780,2,4.97,2.79,VR 150-600mm f/5-6.3G,1.0,4.94,34,610044517,Burrowing Owl,Marla Hibbitts,2023,https://macaulaylibrary.org/asset/610044517,Nikon,D780,2300.0,24.5
Panasonic Lumix DMC-GX7,1,4.73,2.53,,,4.73,26,56741281,Great Slaty Woodpecker,Kai Soon Chan,2017,https://macaulaylibrary.org/asset/56741281,Panasonic,Lumix DMC-GX7,400.0,16.0
Canon EOS 350D,1,4.82,2.45,,,4.82,22,60622081,Somali Ostrich,David Orth-Moore,2015,https://macaulaylibrary.org/asset/60622081,Canon,EOS 350D,25.0,8.0
Sony Cyber-shot DSC-HX350,1,4.81,2.6,4.3-215mm f/2.8-6.3,1.0,4.81,27,250664841,Australian Pipit,Richard Murray,2020,https://macaulaylibrary.org/asset/250664841,Sony,Cyber-shot DSC-HX350,50.0,20.4
Sony Alpha SLT-A57,1,4.98,3.27,75-300mm F4.5-5.6,1.0,4.98,56,135461341,Sacred Kingfisher,Sara Young,2019,https://macaulaylibrary.org/asset/135461341,Sony,Alpha SLT-A57,500.0,16.1
Canon EOS Rebel T6s,1,4.98,3.32,EF400mm f/5.6L USM,1.0,4.98,60,312139561,Boreal Owl,Neil Denton,2021,https://macaulaylibrary.org/asset/312139561,Canon,EOS Rebel T6s,650.0,24.2
Panasonic Lumix DMC-G80,1,4.76,2.52,,,4.76,25,204134441,White-browed Tit-Warbler,Tom Heijnen,2018,https://macaulaylibrary.org/asset/204134441,Panasonic,Lumix DMC-G80,300.0,16.0
Panasonic Lumix DMC-FZ200,1,4.76,2.52,,,4.76,25,50953961,Plum-headed Parakeet,Suzanne Cholette,2017,https://macaulaylibrary.org/asset/50953961,Panasonic,Lumix DMC-FZ200,200.0,12.1
Fujifilm X-T4,1,4.75,2.59,XF150-600mmF5.6-8 R LM OIS WR,1.0,4.75,28,616390858,Ground Parrot,Veeraj Sharma,2024,https://macaulaylibrary.org/asset/616390858,Fujifilm,X-T4,1200.0,26.1
Canon PowerShot SX540 HS,1,4.75,2.48,,,4.75,24,141131751,Black Drongo,George Kuriakose  Basil,2019,https://macaulaylibrary.org/asset/141131751,Canon,PowerShot SX540 HS,200.0,20.3
Panasonic Lumix DMC-FZ2500,1,5.0,2.93,,,5.0,36,120492991,Pin-tailed Whydah,Robert Hamilton,2018,https://macaulaylibrary.org/asset/120492991,Panasonic,Lumix DMC-FZ2500,600.0,20.1
Sony Alpha 7C,1,4.74,3.02,E 28-200mm F2.8-5.6 A071,1.0,4.74,50,316787051,Brown Goshawk,Michael Drake,2021,https://macaulaylibrary.org/asset/316787051,Sony,Alpha 7C,1200.0,24.2
Nikon COOLPIX B500,1,4.92,2.6,,,4.92,25,174378301,Burrowing Owl,Nicolás Bejarano,2019,https://macaulaylibrary.org/asset/174378301,Nikon,COOLPIX B500,200.0,16.0
Olympus OM-D E-M5,1,4.71,2.36,LEICA DG 100-400/F4.0-6.3,1.0,4.71,21,91463911,Nicobar Pigeon,Hans-Peter Bieri,2018,https://macaulaylibrary.org/asset/91463911,Olympus,OM-D E-M5,300.0,16.1
Nikon 1 V2,1,5.0,2.91,1 NIKKOR VR 70-300mm f/4.5-5.6,1.0,5.0,35,105796241,Purple-crowned Fairy,Don Danko,2017,https://macaulaylibrary.org/asset/105796241,Nikon,1 V2,100.0,14.2
Nikon D200,1,4.64,2.72,300.0-800.0 mm f/5.6,1.0,4.64,36,90843741,Eurasian Eagle-Owl,Don de la Rambelje,2015,https://macaulaylibrary.org/asset/90843741,Nikon,D200,100.0,10.2
Canon PowerShot SX720 HS,1,4.61,2.38,,,4.61,23,430560871,Gray-necked Rockfowl,Alexis Lamek,2022,https://macaulaylibrary.org/asset/430560871,Canon,PowerShot SX720 HS,500.0,20.3
Panasonic Lumix DMC-FZ72,1,4.59,2.33,,,4.59,22,145005421,Quail-plover,Barry Reed,2019,https://macaulaylibrary.org/asset/145005421,Panasonic,Lumix DMC-FZ72,200.0,16.1
Nikon COOLPIX P520,1,4.55,2.31,,,4.55,22,522362541,Brazilian Teal,Nazareno Yunes Del Carlo,2023,https://macaulaylibrary.org/asset/522362541,Nikon,COOLPIX P520,300.0,18.1
Fujifilm FinePix SL300,1,4.52,2.27,,,4.52,21,24171571,Junin Grebe,Kevin Chumpitaz Trujillo,2016,https://macaulaylibrary.org/asset/24171571,Fujifilm,FinePix SL300,150.0,14.0
Panasonic Lumix DC-TZ95,1,4.46,2.38,,,4.46,26,512476641,Eurasian Blackbird,Tomáš Koranda,2022,https://macaulaylibrary.org/asset/512476641,Panasonic,Lumix DC-TZ95,800.0,20.3
Nikon D60,1,4.4,2.33,,,4.4,25,172259461,Coscoroba Swan,Juan Esteban Salazar,2019,https://macaulaylibrary.org/asset/172259461,Nikon,D60,100.0,10.2
Fujifilm X-T30,1,4.36,2.49,XF70-300mmF4-5.6 R LM OIS WR,1.0,4.36,33,612250962,Southern Red Bishop,Andrew Black,2023,https://macaulaylibrary.org/asset/612250962,Fujifilm,X-T30,500.0,26.1
Sony Cyber-shot DSC-H400,1,4.32,3.45,,,4.32,137,74561741,European Starling,Carlos Pereira,2017,https://macaulaylibrary.org/asset/74561741,Sony,Cyber-shot DSC-H400,200.0,20.1
Panasonic Lumix DMC-G85,1,4.7,2.42,LEICA DG 100-400/F4.0-6.3,1.0,4.7,23,211833421,Scarlet Robin (Campbell's),Keith Morris,2020,https://macaulaylibrary.org/asset/211833421,Panasonic,Lumix DMC-G85,400.0,16.0
Apple iPhone 12 Pro,1,4.82,3.3,iPhone 12 Pro back triple camera 6mm f/2,1.0,4.82,67,595634481,Muscovy Duck (Domestic type),Christine Zamora,2023,https://macaulaylibrary.org/asset/595634481,Apple,iPhone 12 Pro,500.0,12.0
Canon EOS Rebel T100,1,5.0,2.58,150-500mm,1.0,5.0,23,478161161,Ruff,Jordan Grau,2022,https://macaulaylibrary.org/asset/478161161,Canon,EOS Rebel T100,300.0,18.0
Olympus OM-1 Mark II,1,4.82,2.45,OLYMPUS M.300mm F4.0,1.0,4.82,22,618971551,Multicolored Tanager,Richard Thunen,2024,https://macaulaylibrary.org/asset/618971551,Olympus,OM-1 Mark II,500.0,20.4
Panasonic Lumix DC-FZ80,1,4.91,2.53,,,4.91,23,281288811,Antioquia Brushfinch,Ramón David Ruiz Correa (@rada.birding),2020,https://macaulaylibrary.org/asset/281288811,Panasonic,Lumix DC-FZ80,400.0,18.1
Pentax K-5,1,4.91,3.22,smc PENTAX-DA* 300mm F4 ED [IF] SDM,1.0,4.91,56,183694121,Blue Jay,François Martin,2019,https://macaulaylibrary.org/asset/183694121,Pentax,K-5,300.0,16.3
Sony Alpha DSLR-A200,1,4.95,2.52,75-300mm F4.5-5.6,1.0,4.95,22,87250041,Alpine Accentor,Matthias Tissot,2015,https://macaulaylibrary.org/asset/87250041,Sony,Alpha DSLR-A200,100.0,10.2
Panasonic Lumix DC-GX9,1,4.9,2.73,,,4.9,30,548228531,Red-billed Oxpecker,Thomas Mourez,2023,https://macaulaylibrary.org/asset/548228531,Panasonic,Lumix DC-GX9,1000.0,20.3
Sony Alpha 7S III,1,4.9,2.73,FE 200-600mm F5.6-6.3 G OSS,1.0,4.9,30,553869731,Egyptian Vulture,Peter Alexander,2023,https://macaulaylibrary.org/asset/553869731,Sony,Alpha 7S III,3000.0,12.1
Sony Alpha 9 III,1,4.95,2.94,FE 100-400mm F4.5-5.6 GM OSS + 1.4X Teleconverter,1.0,4.95,38,621810200,Common Nighthawk,Bob Bowhay,2024,https://macaulaylibrary.org/asset/621810200,Sony,Alpha 9 III,5000.0,24.6
Samsung Galaxy A52s 5G,1,4.95,2.96,,,4.95,39,467358791,Savanna Nightjar,Kun-Hui  Lin,2022,https://macaulaylibrary.org/asset/467358791,Samsung,Galaxy A52s 5G,300.0,64.0
Panasonic Lumix DMC-G7,1,4.89,3.21,,,4.89,56,281601621,Lesser Kestrel,Ellen Askum,2017,https://macaulaylibrary.org/asset/281601621,Panasonic,Lumix DMC-G7,500.0,16.0
Panasonic Lumix DMC-FZ60,1,4.89,2.64,,,4.89,27,88369151,South American Painted-Snipe,Martín Toledo,2018,https://macaulaylibrary.org/asset/88369151,Panasonic,Lumix DMC-FZ60,100.0,16.1
Panasonic Lumix DMC-FZ1000,1,4.95,2.48,,,4.95,21,129826981,Speckled Pigeon,Peter Kaestner,2015,https://macaulaylibrary.org/asset/129826981,Panasonic,Lumix DMC-FZ1000,500.0,20.1
Sony Alpha 6100,1,4.88,2.61,FE 200-600mm F5.6-6.3 G OSS,1.0,4.88,26,468916451,Vigors's Sunbird,Sujit Nair,2021,https://macaulaylibrary.org/asset/468916451,Sony,Alpha 6100,750.0,24.2
Fujifilm FinePix S1,1,4.87,3.18,,,4.87,55,233312091,Audouin's Gull,D HARVEY,2015,https://macaulaylibrary.org/asset/233312091,Fujifilm,FinePix S1,300.0,16.4
Olympus OM-D E-M1,1,4.87,2.74,M.300mm F4.0 + MC-14,1.0,4.87,31,90919521,Forest Kingfisher,David Boyle,2018,https://macaulaylibrary.org/asset/90919521,Olympus,OM-D E-M1,300.0,16.3
Sony Cyber-shot DSC-RX100 VII,1,4.97,2.79,9-72mm f/2.8-4.5,1.0,4.97,31,625836350,Chinstrap Penguin,Mark Whiffin,2023,https://macaulaylibrary.org/asset/625836350,Sony,Cyber-shot DSC-RX100 VII,1200.0,20.1
Apple iPhone 15 Pro,1,4.86,3.44,iPhone 15 Pro back triple camera 2.22mm f/2.2,1.0,4.86,78,613671574,Yellow-crested Helmetshrike,Matt Brady,2023,https://macaulaylibrary.org/asset/613671574,Apple,iPhone 15 Pro,600.0,48.0
Nikon D3,1,4.86,4.53,300.0 mm f/4.0,1.0,4.86,314,318547341,Great Horned Owl,Nathalie Talbot,2021,https://macaulaylibrary.org/asset/318547341,Nikon,D3,500.0,12.1
Panasonic Lumix DC-GH5,1,4.86,2.96,LEICA DG 100-400/F4.0-6.3,1.0,4.86,42,400194881,Black Rosy-Finch,Aidan Lorenz,2021,https://macaulaylibrary.org/asset/400194881,Panasonic,Lumix DC-GH5,200.0,20.3
Nikon D80,1,5.0,2.64,,,5.0,25,83211011,Indian Roller,Peter Arras,2018,https://macaulaylibrary.org/asset/83211011,Nikon,D80,100.0,10.2
Panasonic Lumix DMC-GH3,1,4.84,3.07,,,4.84,49,38252891,Fish Crow,Paul Tavares,2015,https://macaulaylibrary.org/asset/38252891,Panasonic,Lumix DMC-GH3,300.0,16.1
Canon PowerShot SX530 HS,1,4.84,3.2,,,4.84,58,475324131,Long-tailed Meadowlark,Alasco López,2022,https://macaulaylibrary.org/asset/475324131,Canon,PowerShot SX530 HS,250.0,16.0
Canon EOS R5 II,1,5.0,2.61,RF200-800mm F6.3-9 IS USM,1.0,5.0,24,627619151,Long-tailed Duck,SONER SABIRLI,2024,https://macaulaylibrary.org/asset/627619151,Canon,EOS R5 II,4000.0,45.0
Sony Cyber-shot DSC-HX100V,1,4.84,2.56,4.8-144mm f/2.8-5.6,1.0,4.84,25,60801041,Piapiac,Catherine McFadden,2017,https://macaulaylibrary.org/asset/60801041,Sony,Cyber-shot DSC-HX100V,200.0,16.2
Pentax K-3 II,1,4.83,4.53,smc PENTAX-DA* 300mm F4 ED [IF] SDM,1.0,4.83,323,80930791,Red-tailed Hawk (abieticola),Vincent Fyson,2018,https://macaulaylibrary.org/asset/80930791,Pentax,K-3 II,700.0,24.3
Apple iPhone 12,1,4.26,2.72,iPhone 12 back dual wide camera 4.2mm f/1.6,1.0,4.26,50,549100221,Great Gray Shrike,Simon Bernard,2023,https://macaulaylibrary.org/asset/549100221,Apple,iPhone 12,200.0,12.0
