catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
543548051,Canon EOS R5,150-600mm F5-6.3 DG OS HSM | Contemporary 015,3200,600 mm,Flash did not fire,f/7.1,1/1000 sec,3756 pixels x 2505 pixels,6.31 MB,,,,,Dusky Thrush,Turdus eunomus,Sandy Luk,2023-03-08,2023,4.96,26,Asia,4.96
38172621,NIKON D5300,,720,300 mm,"Flash did not fire, auto",f/5.6,1/1000 sec,4480 pixels x 2984 pixels,5.57 MB,,,,,Burrowing Parakeet,Cyanoliseus patagonus,Gabriele Vallejos,2016-10-23,2016,4.96,25,South America,4.96
404982591,Canon PowerShot SX50 HS,,80,215 mm,Flash did not fire,f/6.5,1/160 sec,1738 pixels x 1440 pixels,538.57 KB,,,,,Whimbrel,Numenius phaeopus,Brian Stone,2022-01-08,2022,4.96,23,Africa,4.96
42820801,NIKON D810,,1000,500 mm,"Flash did not fire, auto",f/5.6,1/2500 sec,1208 pixels x 1718 pixels,2.42 MB,,,,,Amur Falcon,Falco amurensis,Biju PB,2016-12-18,2016,4.96,25,Asia,4.96
441214861,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,3200,600 mm,Flash did not fire,f/8.0,1/1600 sec,5085 pixels x 3393 pixels,1.68 MB,,,,,Wood Warbler,Phylloscopus sibilatrix,Michala Sůvová,2022-04-28,2022,4.96,46,Europe,4.96
622764985,Canon EOS 7D Mark II,100-400mm F5-6.3 DG OS HSM | Contemporary 017,400,400 mm,Flash did not fire,f/6.3,1/1000 sec,5472 pixels x 3648 pixels,3.33 MB,,,,,African Pygmy-Goose,Nettapus auritus,Maxence Pajot,2024-07-31,2024,4.96,49,Africa,4.96
225334231,NIKON D750,150.0-600.0 mm f/5.0-6.3,400,600 mm,"Flash did not fire, auto",f/9.0,1/800 sec,4301 pixels x 2871 pixels,1.71 MB,,,,,California Quail,Callipepla californica,Alex Bodden,2020-04-19,2020,4.96,100,North America,4.96
410070761,NIKON D5100,TAMRON SP AF 150-600mm F5-6.3 VC USD A011N,400,460 mm,Flash did not fire,f/6.3,1/1250 sec,4503 pixels x 2893 pixels,7.86 MB,,,,,Rock Sandpiper,Calidris ptilocnemis,Cedrik von Briel,2022-01-17,2022,4.96,112,North America,4.96
610869760,NIKON D7200,,800,500 mm,Flash did not fire,f/5.6,1/1600 sec,3730 pixels x 2487 pixels,6.79 MB,,,,,Yellow-fronted Woodpecker,Melanerpes flavifrons,Guilherme  Willrich,2023-11-07,2023,4.96,92,South America,4.96
142991541,NIKON D500,80.0-400.0 mm f/4.5-5.6,3200,400 mm,Flash did not fire,f/9.5,1/125 sec,3760 pixels x 2507 pixels,8.1 MB,,,,,Golden Tanager,Tangara arthus,Bob Hasenick,2018-12-20,2018,4.96,26,South America,4.96
508409061,NIKON D600,,2200,400 mm,Flash did not fire,f/5.6,1/4000 sec,3126 pixels x 2083 pixels,1.99 MB,,,,,Double-banded Courser,Smutsornis africanus,Adriana Dinu,2015-11-13,2015,4.96,23,Africa,4.96
320002041,NIKON D500,300.0 mm f/4.0,800,420 mm,Flash did not fire,f/6.3,1/1600 sec,4746 pixels x 2670 pixels,7.94 MB,,,,,Common Loon,Gavia immer,Reed Robinson,2020-06-26,2020,4.96,116,North America,4.96
81430751,Canon EOS REBEL T5i,EF70-300mm f/4-5.6 IS USM,800,210 mm,"Flash did not fire, auto",f/5.0,1/200 sec,4832 pixels x 3088 pixels,1.22 MB,,,,,Channel-billed Toucan,Ramphastos vitellinus,Lorena Patrício,2015-07-04,2015,4.96,25,South America,4.96
508928931,COOLPIX P900,,400,357 mm,Flash did not fire,f/6.5,1/160 sec,2928 pixels x 2137 pixels,1.73 MB,,,,,Temminck's Stint,Calidris temminckii,Jaroslav Vaněk,2016-05-18,2016,4.96,26,Europe,4.96
170515191,NIKON D7200,,280,500 mm,"Flash did not fire, auto",f/8.0,1/1000 sec,4086 pixels x 2673 pixels,6.8 MB,,,,,Piping Plover,Charadrius melodus,Jack Parlapiano,2019-07-16,2019,4.96,216,North America,4.96
204968641,NIKON D4S,400.0 mm f/2.8,1000,550 mm,Flash did not fire,f/7.1,1/1600 sec,3732 pixels x 2484 pixels,5.04 MB,,,,,Black-and-white Hawk-Eagle,Spizaetus melanoleucus,Marc FASOL,2016-02-22,2016,4.96,55,South America,4.96
148341061,NIKON D810,,1000,600 mm,"Flash did not fire, auto",f/6.3,1/400 sec,1585 pixels x 2028 pixels,1.62 MB,,,,,Blue-tufted Starthroat,Heliomaster furcifer,Miguel Ansenuza,2019-03-10,2019,4.96,24,South America,4.96
456680271,NIKON D850,500.0 mm f/5.6,320,500 mm,Flash did not fire,f/5.6,1/2000 sec,2048 pixels x 1365 pixels,1.63 MB,,,,,Pacific Reef-Heron,Egretta sacra,Harn Sheng Khor,2022-06-05,2022,4.96,46,Australia,4.96
309666411,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,400,400 mm,Flash did not fire,f/5.6,1/2000 sec,4090 pixels x 2727 pixels,2.04 MB,,,,,Sandhill Crane,Antigone canadensis,Matt Felperin,2020-03-04,2020,4.96,714,North America,4.96
205668261,Canon EOS-1D X Mark II,EF500mm f/4L IS USM +1.4x III,640,700 mm,"Flash did not fire, auto",f/9.0,1/320 sec,2592 pixels x 1728 pixels,1.99 MB,,,,,Gray-headed Fish-Eagle,Icthyophaga ichthyaetus,Chun Fai LO,2017-04-21,2017,4.96,26,Asia,4.96
63174241,Canon EOS 7D Mark II,EF400mm f/5.6L USM,400,400 mm,"Flash did not fire, auto",f/5.6,1/1600 sec,2170 pixels x 1446 pixels,515.2 KB,,,,,Leach's Storm-Petrel,Hydrobates leucorhous,Peter Flood,2017-05-10,2017,4.96,54,Europe,4.96
434115881,NIKON D7500,150.0-600.0 mm f/5.0-6.3,450,440 mm,Flash did not fire,f/6.0,1/2000 sec,4557 pixels x 3038 pixels,6.43 MB,,,,,Andean Condor,Vultur gryphus,Pablo Re,2022-03-27,2022,4.95,227,South America,4.95
40837391,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,2500,400 mm,"Flash did not fire, auto",f/5.6,1/500 sec,1500 pixels x 1000 pixels,335.94 KB,,,,,Juan Fernandez Firecrown,Sephanoides fernandensis,Fabrice Schmitt,2016-11-20,2016,4.95,85,South America,4.95
100407881,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,400,312 mm,"Flash did not fire, auto",f/5.6,0.01 sec,3000 pixels x 2000 pixels,2.63 MB,,,,,Sword-billed Hummingbird,Ensifera ensifera,Drew Weber,2018-04-29,2018,4.95,313,South America,4.95
339554831,Canon EOS 60D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,320,600 mm,Flash did not fire,f/6.3,1/1250 sec,2835 pixels x 1890 pixels,3.95 MB,,,,,Tawny-throated Dotterel,Oreopholus ruficollis,Fernando Farias,2021-05-17,2021,4.95,85,South America,4.95
372577651,Canon EOS-1D X,EF300mm f/2.8L IS II USM +1.4x,4000,420 mm,Flash did not fire,f/4.0,1/5000 sec,3336 pixels x 2224 pixels,2.16 MB,,,,,Red-legged Cormorant,Poikilocarbo gaimardi,Jory Teltser,2021-09-23,2021,4.95,816,South America,4.95
145879351,Canon EOS 5D Mark IV,EF400mm f/4 DO IS II USM +1.4x,1000,560 mm,"Flash did not fire, auto",f/6.3,1/500 sec,4227 pixels x 2818 pixels,3.73 MB,,,,,American Goshawk,Astur atricapillus,Daniel Jauvin,2019-03-17,2019,4.95,240,North America,4.95
31711731,NIKON D500,300.0 mm f/4.0,400,300 mm,Flash did not fire,f/6.3,1/800 sec,1692 pixels x 1692 pixels,302.23 KB,,,,,Red-billed Quelea,Quelea quelea,Mathew Joseph,2016-07-24,2016,4.95,21,Africa,4.95
410380341,NIKON Z 7,600.0 mm f/4.0,2500,600 mm,Flash did not fire,f/8.0,1/500 sec,6285 pixels x 4190 pixels,1.71 MB,,,,,Blue-winged Mountain Tanager,Anisognathus somptuosus,Cameron Carver,2019-02-02,2019,4.95,128,South America,4.95
295900451,NIKON D850,500.0 mm f/5.6,2200,500 mm,Flash did not fire,f/5.6,1/500 sec,3973 pixels x 2235 pixels,1.08 MB,,,,,Great Blue Heron,Ardea herodias,Carl Bergstrom,2021-01-06,2021,4.95,323,North America,4.95
417385121,NIKON D500,300.0 mm f/2.8,200,420 mm,Flash did not fire,f/4.0,1/2000 sec,4302 pixels x 2868 pixels,5.33 MB,,,,,Inca Tern,Larosterna inca,Ben  Lucking,2022-01-29,2022,4.95,529,South America,4.95
39404621,Canon EOS 7D Mark II,EF500mm f/4L IS USM,400,500 mm,"Flash did not fire, auto",f/5.6,1/1250 sec,5019 pixels x 2694 pixels,4.8 MB,,,,,Pied Plover,Hoploxypterus cayanus,Luke Seitz,2016-11-05,2016,4.95,1535,South America,4.95
613014934,Canon EOS R6,RF100-500mm F4.5-7.1 L IS USM,8000,500 mm,Flash did not fire,f/10.0,1/2500 sec,2797 pixels x 1865 pixels,1015.17 KB,,,,,King Eider,Somateria spectabilis,Cesar Ponce,2024-01-02,2024,4.95,496,North America,4.95
625375959,NIKON D850,150.0-600.0 mm f/5.0-6.3,200,500 mm,Flash did not fire,f/6.0,1/500 sec,3721 pixels x 2501 pixels,2.27 MB,,,,,Strange-tailed Tyrant,Alectrurus risora,David F. Belmonte,2024-10-08,2024,4.95,88,South America,4.95
217711091,Canon EOS 5D Mark IV,EF600mm f/4L IS II USM +1.4x III,640,840 mm,"Flash did not fire, auto",f/5.6,1/2000 sec,3153 pixels x 2102 pixels,2.63 MB,,,,,Northern Shoveler,Spatula clypeata,Brad Imhoff,2020-03-22,2020,4.95,619,North America,4.95
621151075,Canon EOS R6m2,RF100-500mm F4.5-7.1 L IS USM,3200,270 mm,Flash did not fire,f/5.6,1/1250 sec,3904 pixels x 2603 pixels,512.86 KB,,,,,Guira Cuckoo,Guira guira,Fernando Calmon,2024-06-28,2024,4.95,118,South America,4.95
521747701,NIKON D500,500.0 mm f/4.0,800,500 mm,Flash did not fire,f/4.0,1/200 sec,4474 pixels x 2983 pixels,5.27 MB,,,,,Black Scoter,Melanitta americana,Charles Villeneuve,2023-01-07,2023,4.95,318,North America,4.95
381214131,Canon EOS 90D,EF100-400mm f/4.5-5.6L IS II USM,500,400 mm,Flash did not fire,f/6.3,1/2000 sec,6960 pixels x 4640 pixels,1.87 MB,,,,,Black-browed Albatross,Thalassarche melanophris,Claudio Véliz,2021-10-20,2021,4.95,92,South America,4.95
344426191,NIKON D810,500.0 mm f/5.6,250,500 mm,Flash did not fire,f/5.6,1/1000 sec,2384 pixels x 1591 pixels,1.72 MB,,,,,Red-necked Grebe,Podiceps grisegena,Tyler Ficker,2021-05-23,2021,4.95,377,North America,4.95
543321491,Canon EOS 6D Mark II,,4000,600 mm,Flash did not fire,f/6.3,1/800 sec,2644 pixels x 2179 pixels,2.19 MB,,,,,Great Horned Owl,Bubo virginianus,Brent Angelo,2023-03-07,2023,4.95,42,North America,4.95
104206781,Canon EOS 7D Mark II,EF500mm f/4L IS USM,400,500 mm,"Flash did not fire, auto",f/5.6,1/1600 sec,2500 pixels x 1500 pixels,1.56 MB,,,,,Black-capped Petrel (White-faced),Pterodroma hasitata (White-faced),Brian Sullivan,2018-06-08,2018,4.95,289,North America,4.95
323434401,NIKON D500,,200,600 mm,Flash did not fire,f/7.1,1/1250 sec,4232 pixels x 2596 pixels,10.5 MB,,,,,Spinifex Pigeon,Geophaps plumifera,Nik Mulconray,2021-04-04,2021,4.95,123,Australia,4.95
480362801,Canon EOS 5D Mark IV,EF300mm f/2.8L IS USM +1.4x III,3200,420 mm,Flash did not fire,f/5.6,1/500 sec,6120 pixels x 4079 pixels,6.5 MB,,,,,Araripe Manakin,Chiroxiphia bokermanni,Kevin Berkoff,2022-08-05,2022,4.95,58,South America,4.95
622259282,E-M1MarkIII,OM 100-400mm F5.0-6.3,320,400 mm,,f/6.3,1/640 sec,3668 pixels x 2063 pixels,1.33 MB,,,,,Eurasian Nightjar,Caprimulgus europaeus,Angus W,2024-08-07,2024,4.95,22,Europe,4.95
469622721,NIKON D500,500.0 mm f/5.6,2000,500 mm,Flash did not fire,f/5.6,1/800 sec,1620 pixels x 1080 pixels,1.11 MB,,,,,Little Wattlebird,Anthochaera chrysoptera,John  Van Doorn,2022-07-24,2022,4.95,65,Australia,4.95
184001851,DSC-RX10M4,8.8-220mm f/2.4-4.0,800,220 mm,"Flash did not fire, auto",f/4.0,1/250 sec,1626 pixels x 1590 pixels,2.08 MB,,,,,Ruby-crowned Kinglet,Corthylio calendula,Lin McGrew,2019-10-24,2019,4.95,62,North America,4.95
610831004,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,800,300 mm,Flash did not fire,f/8.0,1/500 sec,2670 pixels x 1780 pixels,4.11 MB,,,,,Red Phalarope,Phalaropus fulicarius,José Maria Ayuela Azcarate,2023-11-06,2023,4.95,22,Europe,4.95
373214831,Canon EOS 800D,EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,Flash did not fire,f/5.6,1/3200 sec,2374 pixels x 1583 pixels,1.08 MB,,,,,Sacred Kingfisher,Todiramphus sanctus,Lorix Bertling,2021-09-28,2021,4.95,62,Australia,4.95
348481561,E-M1X,OLYMPUS M.300mm F4.0,1000,300 mm,Flash did not fire,f/4.0,1/800 sec,4920 pixels x 2952 pixels,2.37 MB,,,,,Brown Thrasher,Toxostoma rufum,John Wyatt,2021-06-15,2021,4.95,61,North America,4.95
622891088,OM-1,OLYMPUS M.150-400mm F4.5,2000,234 mm,Flash did not fire,f/4.5,1/320 sec,4707 pixels x 3530 pixels,11.98 MB,,,,,Sedge Wren,Cistothorus stellaris,Kelly Ballantyne,2024-08-24,2024,4.95,61,North America,4.95
490078981,NIKON D850,,800,500 mm,"Flash fired, return detected",f/5.6,1/200 sec,3322 pixels x 3617 pixels,2.49 MB,,,,,Spruce Grouse,Canachites canadensis,François Hamel,2022-10-03,2022,4.95,60,North America,4.95
122886261,NIKON D500,300.0 mm f/4.0,1600,300 mm,Flash did not fire,f/5.6,1/400 sec,1757 pixels x 1171 pixels,1.3 MB,,,,,Ruby-crowned Kinglet,Corthylio calendula,Mike Stewart,2018-11-10,2018,4.95,82,North America,4.95
429459141,ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,400,576 mm,Flash did not fire,f/7.1,1/2500 sec,2449 pixels x 1633 pixels,4.47 MB,,,,,American Wigeon,Mareca americana,James Patten,2022-03-27,2022,4.95,88,North America,4.95
362008201,NIKON D500,200.0-500.0 mm f/5.6,1000,500 mm,Flash did not fire,f/6.3,1/640 sec,2048 pixels x 1366 pixels,1.06 MB,,,,,Stilt Sandpiper,Calidris himantopus,Joanne Priest,2021-08-16,2021,4.95,59,North America,4.95
241844691,NIKON D4,150.0-600.0 mm f/5.0-6.3,1600,600 mm,Flash did not fire,f/6.3,1/2000 sec,2048 pixels x 1363 pixels,1.41 MB,,,,,Common Goldeneye,Bucephala clangula,Cam Nikkel,2020-06-07,2020,4.95,59,North America,4.95
399775021,Canon EOS R5,RF800mm F11 IS STM + EXTENDER RF1.4x,10000,1120 mm,Flash did not fire,f/16.0,1/1250 sec,7462 pixels x 4619 pixels,7.78 MB,,,,,Mottled Duck,Anas fulvigula,Andy Wilson,2021-12-28,2021,4.95,84,North America,4.95
316490341,NIKON D5300,150.0-600.0 mm f/5.0-6.3,250,320 mm,Flash did not fire,f/5.6,1/500 sec,6000 pixels x 4000 pixels,3.6 MB,,,,,African Penguin,Spheniscus demersus,Regard Van Dyk,2021-03-12,2021,4.95,290,Africa,4.95
114152581,NIKON D7200,,1600,300 mm,"Flash did not fire, auto",f/4.0,1/200 sec,3411 pixels x 2481 pixels,2.01 MB,,,,,Undulated Tinamou,Crypturellus undulatus,Juan José Chalco Luna,2018-07-28,2018,4.95,20,South America,4.95
508945871,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,1250,371 mm,Flash did not fire,f/5.6,1/1000 sec,1080 pixels x 1033 pixels,555.81 KB,,,,,Blue-throated Hillstar,Oreotrochilus cyanolaemus,Santiago Salazar,2022-11-06,2022,4.95,20,South America,4.95
517999261,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF1.4x,5000,560 mm,Flash did not fire,f/8.0,1/250 sec,3510 pixels x 2340 pixels,1.47 MB,,,,,Rusty-winged Barbtail,Premnornis guttuliger,John Mills,2022-12-29,2022,4.95,20,South America,4.95
616862827,Canon EOS R6,RF600mm F11 IS STM,12800,600 mm,Flash did not fire,f/11.0,1/800 sec,3067 pixels x 2045 pixels,6.17 MB,,,,,African Finfoot,Podica senegalensis,Daniel Engelbrecht - Birding Ecotours,2024-03-30,2024,4.95,140,Africa,4.95
441953701,Canon EOS RP,150-600mm F5-6.3 DG OS HSM | Contemporary 015,800,600 mm,Flash did not fire,f/6.3,1/250 sec,3702 pixels x 2468 pixels,4.63 MB,,,,,Louisiana Waterthrush,Parkesia motacilla,Malcolm Kurtz,2022-04-30,2022,4.95,64,North America,4.95
620613186,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,400,500 mm,Flash did not fire,f/7.1,1/800 sec,4162 pixels x 2776 pixels,6.88 MB,,,,,American Oystercatcher,Haematopus palliatus,Vincent Iadevaia,2024-06-19,2024,4.95,74,North America,4.95
127791711,NIKON D850,,400,420 mm,Flash did not fire,f/5.6,1/3200 sec,2774 pixels x 1966 pixels,1.24 MB,,,,,Curlew Sandpiper,Calidris ferruginea,Steven McBride,2018-12-05,2018,4.95,65,Australia,4.95
350353901,NIKON D500,200.0-500.0 mm f/5.6,1000,500 mm,Flash did not fire,f/5.6,1/800 sec,3930 pixels x 2986 pixels,1.69 MB,,,,,Brolga,Antigone rubicunda,Campbell Paine,2021-06-26,2021,4.95,124,Australia,4.95
609722123,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,800,500 mm,Flash did not fire,f/8.0,1/30 sec,4192 pixels x 2429 pixels,1.3 MB,,,,,Common Bronzewing,Phaps chalcoptera,Elspeth M,2023-09-28,2023,4.95,155,Australia,4.95
627113353,Canon EOS R7,RF200-800mm F6.3-9 IS USM,2000,400 mm,Flash did not fire,f/10.0,1/640 sec,6388 pixels x 4259 pixels,3.87 MB,,,,,Royal Penguin,Eudyptes schlegeli,Oscar Thomas,2024-11-27,2024,4.95,176,Australia,4.95
64935911,NIKON D500,,800,500 mm,Flash did not fire,f/5.6,1/320 sec,5418 pixels x 3612 pixels,3.3 MB,,,,,Yellow-throated Warbler (dominica/stoddardi),Setophaga dominica dominica/stoddardi,Sam Miller,2017-07-23,2017,4.95,76,North America,4.95
269551241,NIKON D500,,400,500 mm,Flash did not fire,f/5.6,1/800 sec,3558 pixels x 2373 pixels,867.15 KB,,,,,Harris's Sparrow,Zonotrichia querula,Chris Rees,2020-10-09,2020,4.95,76,North America,4.95
334908971,NIKON D500,500.0 mm f/5.6,2000,500 mm,Flash did not fire,f/5.6,1/1250 sec,4211 pixels x 2807 pixels,9.49 MB,,,,,Northern House Wren,Troglodytes aedon,Mitchell Goldfarb,2021-05-07,2021,4.95,81,North America,4.95
526757791,NIKON D5600,150.0-600.0 mm f/5.0-6.3,1250,600 mm,Flash did not fire,f/6.3,1/125 sec,2048 pixels x 1365 pixels,2.55 MB,,,,,Australian Owlet-nightjar,Aegotheles cristatus,Nick Rogers,2023-01-22,2023,4.95,96,Australia,4.95
200236401,Canon EOS 7D Mark II,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,320,400 mm,"Flash did not fire, auto",f/5.6,1/320 sec,4737 pixels x 2923 pixels,4.49 MB,,,,,Common Bronzewing,Phaps chalcoptera,Paul Brooks,2020-01-18,2020,4.95,82,Australia,4.95
495604361,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,5000,500 mm,Flash did not fire,f/8.0,1/2500 sec,3320 pixels x 2214 pixels,4.14 MB,,,,,Song Sparrow,Melospiza melodia,Tim Emmerzaal,2022-10-16,2022,4.95,74,North America,4.95
350531151,NIKON D500,500.0 mm f/5.6,360,500 mm,Flash did not fire,f/5.6,1/1250 sec,2661 pixels x 2001 pixels,3.31 MB,,,,,Belted Kingfisher,Megaceryle alcyon,Tom Warren,2021-06-26,2021,4.95,73,North America,4.95
493539431,NIKON D500,,400,500 mm,Flash did not fire,f/11.0,1/500 sec,5143 pixels x 3427 pixels,2.06 MB,,,,,Pectoral Sandpiper,Calidris melanotos,Ted Bradford,2022-10-13,2022,4.95,66,North America,4.95
166939771,Canon EOS 7D,,800,400 mm,"Flash did not fire, auto",f/8.0,1/500 sec,3297 pixels x 2198 pixels,2.07 MB,,,,,Tufted Puffin,Fratercula cirrhata,Daniel Tinoco,2016-05-26,2016,4.95,66,North America,4.95
474974921,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,3200,500 mm,Flash did not fire,f/7.1,1/2500 sec,5237 pixels x 3493 pixels,9.28 MB,,,,,Cape Verde Shearwater,Calonectris edwardsii,Nick Bonomo,2022-08-12,2022,4.95,66,North America,4.95
445759621,Canon EOS 90D,EF400mm f/4 DO IS II USM,500,400 mm,Flash did not fire,f/4.0,1/400 sec,2761 pixels x 2209 pixels,2.44 MB,,,,,Prairie Warbler,Setophaga discolor,Graham Schmidt,2022-05-08,2022,4.95,66,North America,4.95
425365901,Canon EOS R5,EF600mm f/4L IS III USM,1000,600 mm,Flash did not fire,f/7.1,1/8000 sec,1499 pixels x 1000 pixels,934.53 KB,,,,,White-capped Albatross,Thalassarche cauta,Jeremy Edwards,2022-03-12,2022,4.95,65,Australia,4.95
84767021,NIKON D7000,,320,300 mm,"Flash did not fire, auto",f/5.0,1/250 sec,1800 pixels x 1200 pixels,1.46 MB,,,,,Chotoy Spinetail,Schoeniophylax phryganophilus,Bruno Rennó,2015-09-10,2015,4.95,21,South America,4.95
206709941,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,1250,400 mm,"Flash did not fire, auto",f/6.3,1/1000 sec,5472 pixels x 3648 pixels,2.73 MB,,,,,White-crowned Sparrow,Zonotrichia leucophrys,Donna Pomeroy,2020-02-01,2020,4.95,93,North America,4.95
204137651,Canon EOS 7D Mark II,EF400mm f/4 DO IS II USM +1.4x III,250,560 mm,"Flash did not fire, auto",f/8.0,1/1250 sec,2082 pixels x 1471 pixels,1.42 MB,,,,,White Bellbird,Procnias albus,Anselmo  d'Affonseca,2019-02-20,2019,4.95,58,South America,4.95
205025041,E-M1MarkII,LEICA DG 100-400/F4.0-6.3,400,350 mm,Flash did not fire,f/7.1,1/800 sec,1000 pixels x 750 pixels,289.37 KB,,,,,Northern Bald Ibis,Geronticus eremita,Jesus Barreda,2017-09-09,2017,4.95,39,Africa,4.95
49277601,Canon PowerShot SX50 HS,,160,215 mm,"Flash did not fire, auto",f/6.5,1/500 sec,3515 pixels x 2715 pixels,4.27 MB,,,,,Bachman's Sparrow,Peucaea aestivalis,Howard West,2017-02-20,2017,4.95,132,North America,4.95
485895791,Canon EOS 7D Mark II,Canon EF100-400mm f/4.5-5.6L IS II USM,1250,400 mm,Flash did not fire,f/5.6,1/125 sec,3400 pixels x 2114 pixels,4.7 MB,,,,,Connecticut Warbler,Oporornis agilis,Will Sweet,2022-09-20,2022,4.95,147,North America,4.95
609976569,E-M1X,OLYMPUS M.150-400mm F4.5 TC,800,500 mm,Flash did not fire,f/5.6,1/1000 sec,3600 pixels x 2700 pixels,9.81 MB,,,,,LeConte's Sparrow,Ammospiza leconteii,Gary Mueller,2023-10-15,2023,4.95,128,North America,4.95
616417387,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,800,500 mm,Flash did not fire,f/7.1,1/2000 sec,4559 pixels x 3038 pixels,9.09 MB,,,,,Spotted Crake,Porzana porzana,Onur Salkım,2024-03-23,2024,4.95,20,Europe,4.95
450671211,NIKON D7200,,200,400 mm,Flash did not fire,f/6.3,1/640 sec,3537 pixels x 3106 pixels,3.24 MB,,,,,Marbled Duck,Marmaronetta angustirostris,Isabel Gómez Carrasco,2022-05-15,2022,4.95,20,Europe,4.95
171315581,Canon EOS 7D,,125,388 mm,"Flash did not fire, auto",f/6.3,1/800 sec,2964 pixels x 1900 pixels,2.84 MB,,,,,Crested Eagle,Morphnus guianensis,Willian Menq,2019-08-03,2019,4.95,37,South America,4.95
246085731,Canon EOS 7D Mark II,EF400mm f/5.6L USM,400,400 mm,"Flash did not fire, auto",f/5.6,1/1600 sec,2365 pixels x 1384 pixels,1.01 MB,,,,,Common Nighthawk,Chordeiles minor,Andrew Dreelin,2020-06-14,2020,4.95,165,North America,4.95
606420571,NIKON D7100,,640,500 mm,Flash did not fire,f/7.1,1/200 sec,5075 pixels x 3380 pixels,7.65 MB,,,,,Austral Pygmy-Owl,Glaucidium nana,Jorge Vidal Melián,2023-08-16,2023,4.95,37,South America,4.95
386091681,NIKON D800E,200.0-500.0 mm f/5.6,4000,500 mm,Flash did not fire,f/5.6,1/1250 sec,2188 pixels x 1447 pixels,2.65 MB,,,,,Ruby-crowned Kinglet,Corthylio calendula,Barbara Swanson,2021-11-04,2021,4.95,162,North America,4.95
443832551,NIKON D610,150.0-600.0 mm f/5.0-6.3,2000,600 mm,Flash did not fire,f/8.0,1/500 sec,3095 pixels x 2211 pixels,2.77 MB,,,,,Sulphur-winged Parakeet,Pyrrhura hoffmanni,Leonardo Valverde,2020-10-18,2020,4.95,149,North America,4.95
532337071,NIKON Z 9,500 500 5.6 5.6,500,700 mm,Flash did not fire,f/8.0,1/2000 sec,6846 pixels x 4564 pixels,8.65 MB,,,,,American Kestrel,Falco sparverius,Mark Parker,2023-02-06,2023,4.95,181,North America,4.95
140771771,NIKON D850,600.0 mm f/4.0,640,850 mm,Flash did not fire,f/5.6,1/1000 sec,3240 pixels x 2160 pixels,2.59 MB,,,,,Least Grebe,Tachybaptus dominicus,Daniel Grossi,2019-02-11,2019,4.95,183,North America,4.95
502624171,ILCE-9M2,FE 200-600mm F5.6-6.3 G OSS + 1.4X Teleconverter,4000,840 mm,Flash did not fire,f/9.0,1/250 sec,3495 pixels x 2330 pixels,3.8 MB,,,,,Inti Tanager,Heliothraupis oneilli,Rob Jansen - RobJansenphotography.com,2022-10-07,2022,4.95,43,South America,4.95
257386271,NIKON D850,200.0-500.0 mm f/5.6,200,500 mm,Flash did not fire,f/5.6,1/1000 sec,6373 pixels x 4249 pixels,8.08 MB,,,,,Northern Cardinal,Cardinalis cardinalis,Suzie McCann,2019-06-02,2019,4.95,219,North America,4.95
614904865,Canon EOS 90D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,2000,600 mm,Flash did not fire,f/6.3,1/800 sec,6745 pixels x 4210 pixels,8.46 MB,,,,,Pileated Woodpecker,Dryocopus pileatus,Stephen Taylor,2024-02-16,2024,4.95,44,North America,4.95
136545421,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,640,400 mm,"Flash did not fire, auto",f/5.6,1/500 sec,2914 pixels x 1859 pixels,2.47 MB,,,,,Black-throated Mango,Anthracothorax nigricollis,John Deitsch,2019-01-20,2019,4.95,55,South America,4.95
355048081,ILCE-7RM4,FE 200-600mm F5.6-6.3 G OSS,64,600 mm,Flash did not fire,f/6.3,1/1250 sec,2689 pixels x 1793 pixels,6.39 MB,,,,,Roseate Spoonbill,Platalea ajaja,Alicia Ambers,2021-07-17,2021,4.95,131,North America,4.95
