catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
127315771,Canon EOS 5D Mark III,,1250,560 mm,"Flash did not fire, auto",f/8.0,1/250 sec,3200 pixels x 2133 pixels,1.57 MB,,,,,Many-banded Aracari,Pteroglossus pluricinctus,Renato Espinosa,2018-11-27,2018,5.0,34,South America
624395122,NIKON D750,150.0-600.0 mm f/5.0-6.3,640,460 mm,Flash did not fire,f/8.0,1/640 sec,3740 pixels x 2499 pixels,4.51 MB,,,,,Ashy-headed Goose,Chloephaga poliocephala,Tamara Catalán Bermudez,2024-09-30,2024,5.0,34,South America
519078281,NIKON Z 9,NIKKOR Z 800mm f/6.3 VR S,2500,800 mm,Flash did not fire,f/6.3,1/320 sec,3840 pixels x 2560 pixels,3.48 MB,,,,,Wood Duck,Aix sponsa,Simon Villeneuve,2023-01-01,2023,5.0,51,North America
205344891,NIKON D800,300.0 mm f/2.8,2000,300 mm,"Flash did not fire, auto",f/4.5,1/250 sec,4364 pixels x 2912 pixels,2.22 MB,,,,,Black-fronted Piping-Guan,Pipile jacutinga,Adrian Eisen Rupp,2015-08-26,2015,5.0,25,South America
435524871,Canon EOS 7D Mark II,EF500mm f/4L IS II USM,2000,500 mm,Flash did not fire,f/4.0,1/1000 sec,4245 pixels x 2830 pixels,1.78 MB,,,,,Yellow-scarfed Tanager,Iridosornis reinhardti,Bradley Hacker 🦜,2022-03-12,2022,5.0,50,South America
168466901,Canon EOS 7D Mark II,EF400mm f/4 DO IS II USM +1.4x III,1600,560 mm,"Flash did not fire, auto",f/6.3,1/1000 sec,1295 pixels x 800 pixels,586.33 KB,,,,,Agami Heron,Agamia agami,Andrés Posada,2019-07-09,2019,5.0,51,South America
622494820,NIKON D7200,,450,280 mm,"Flash did not fire, auto",f/8.0,1/1000 sec,5560 pixels x 3336 pixels,4.11 MB,,,,,Franklin's Gull,Leucophaeus pipixcan,Nick  Park,2024-08-13,2024,5.0,33,North America
617484585,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,800,500 mm,Flash did not fire,f/7.1,1/640 sec,3699 pixels x 2700 pixels,3.61 MB,,,,,Bohemian Waxwing,Bombycilla garrulus,Jeremiah Trimble,2024-04-14,2024,5.0,33,North America
615522995,NIKON Z 8,NIKKOR Z 100-400mm f/4.5-5.6 VR S Z TC-1.4x,2500,560 mm,Flash did not fire,f/8.0,1/1600 sec,4319 pixels x 2879 pixels,4.7 MB,,,,,Wild Turkey,Meleagris gallopavo,Ruslan Balagansky,2024-02-25,2024,5.0,33,North America
164430521,NIKON D7500,200.0-500.0 mm f/5.6,1000,500 mm,"Flash did not fire, auto",f/5.6,1/250 sec,3107 pixels x 2101 pixels,3.19 MB,,,,,Golden-crowned Warbler,Basileuterus culicivorus,Giovan Alex,2019-06-15,2019,5.0,41,South America
612924878,Canon EOS R6,RF600mm F11 IS STM,2000,600 mm,Flash did not fire,f/11.0,1/2500 sec,2048 pixels x 1365 pixels,483.93 KB,,,,,Flying Steamer-Duck,Tachyeres patachonicus,Daniel Engelbrecht - Birding Ecotours,2023-12-26,2023,5.0,41,South America
372043011,Canon EOS 7D Mark II,,640,400 mm,Flash did not fire,f/8.0,1/640 sec,2048 pixels x 1236 pixels,2.08 MB,,,,,Roseate Spoonbill,Platalea ajaja,David Monroy Rengifo,2021-08-14,2021,5.0,43,South America
594969651,NIKON D500,500.0 mm f/5.6,640,500 mm,Flash did not fire,f/5.6,1/2000 sec,5355 pixels x 3570 pixels,11.28 MB,,,,,Belcher's Gull,Larus belcheri,Lev Frid,2023-04-09,2023,5.0,45,South America
623219781,NIKON D7500,150.0-600.0 mm f/5.0-6.3,20000,600 mm,Flash did not fire,f/8.0,1/1250 sec,2048 pixels x 1365 pixels,3.71 MB,,,,,Chestnut-backed Tanager,Stilpnia preciosa,Raphael Kurz -  Aves do Sul,2024-08-31,2024,5.0,43,South America
164791611,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,"Flash did not fire, auto",f/5.6,0.01 sec,3312 pixels x 2180 pixels,1.64 MB,,,,,Violet-headed Hummingbird,Klais guimeti,Ryan Zucker,2019-03-27,2019,5.0,45,South America
53042891,Canon EOS 5D Mark IV,EF400mm f/5.6L USM,800,400 mm,"Flash did not fire, auto",f/5.6,1/400 sec,3129 pixels x 2086 pixels,4.01 MB,,,,,Chestnut-breasted Coronet,Boissonneaua matthewsii,Graham Montgomery,2017-02-25,2017,5.0,31,South America
398692081,DC-G9,,400,400 mm,Flash did not fire,f/7.1,1/1300 sec,4625 pixels x 2877 pixels,3.16 MB,,,,,Harlequin Duck,Histrionicus histrionicus,Gautam Apte,2021-12-23,2021,5.0,34,North America
184010391,NIKON D610,150.0-600.0 mm f/5.0-6.3,640,600 mm,"Flash did not fire, auto",f/7.1,0.01 sec,1300 pixels x 838 pixels,822.26 KB,,,,,Brassy-breasted Tanager,Tangara desmaresti,LUCIANO BERNARDES,2019-05-05,2019,5.0,26,South America
205512831,Canon EOS-1D X Mark II,EF500mm f/4L IS II USM +2x III,1250,1000 mm,"Flash did not fire, auto",f/8.0,1/160 sec,2574 pixels x 1716 pixels,2.62 MB,,,,,White-throated Jacamar,Brachygalba albogularis,Jon Irvine,2018-09-14,2018,5.0,26,South America
606972921,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,12800,451 mm,Flash did not fire,f/7.1,1/320 sec,5000 pixels x 3000 pixels,11.32 MB,,,,,Guianan Cock-of-the-rock,Rupicola rupicola,Brian Sullivan,2023-08-25,2023,5.0,26,South America
616588063,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,1600,300 mm,Flash did not fire,f/7.1,1/500 sec,4000 pixels x 2667 pixels,5.42 MB,,,,,Blue-throated Starfrontlet,Coeligena helianthea,R M,2024-03-17,2024,5.0,26,South America
621166448,ILCE-6500,FE 100-400mm F4.5-5.6 GM OSS,2000,342 mm,Flash did not fire,f/6.3,1/1250 sec,1920 pixels x 1280 pixels,2.54 MB,,,,,Indigo Macaw,Anodorhynchus leari,Daniel López-Velasco | Ornis Birding Expeditions,2021-01-18,2021,5.0,26,South America
621136507,Canon EOS 90D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1000,600 mm,Flash did not fire,f/7.1,1/640 sec,4609 pixels x 3073 pixels,5.05 MB,,,,,Black-throated Sparrow,Amphispiza bilineata,Dylan Osterhaus,2024-07-04,2024,5.0,34,North America
620212302,ILCE-1,FE 200-600mm F5.6-6.3 G OSS,400,594 mm,Flash did not fire,f/6.3,1/1250 sec,5941 pixels x 3961 pixels,2.1 MB,,,,,Elliot's Storm-Petrel,Oceanites gracilis,Luis Salazar Vargas 🇨🇱,2024-06-02,2024,5.0,28,South America
587083371,ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,640,600 mm,Flash did not fire,f/7.1,1/2000 sec,6050 pixels x 4033 pixels,8.05 MB,,,,,Little Blue Heron,Egretta caerulea,Francisco Castro Escobar,2023-06-21,2023,5.0,28,South America
127013871,NIKON D7200,400.0 mm f/2.8,2500,400 mm,"Flash did not fire, auto",f/4.0,1/800 sec,2048 pixels x 1365 pixels,1.25 MB,,,,,Green-and-black Fruiteater,Pipreola riefferii,Luis  Agudelo,2018-10-30,2018,5.0,29,South America
164414681,Canon EOS 5D Mark IV,EF500mm f/4L IS II USM,2000,500 mm,"Flash did not fire, auto",f/7.1,1/500 sec,3170 pixels x 4000 pixels,7.2 MB,,,,,Spectacled Parrotlet,Forpus conspicillatus,Steve Kelling,2019-02-03,2019,5.0,29,South America
205209831,Canon EOS 7D Mark II,EF500mm f/4L IS USM,1000,500 mm,Flash did not fire,f/4.0,1249/1000000 sec,1100 pixels x 733 pixels,310.49 KB,,,,,Bearded Mountaineer (Eastern),Oreonympha nobilis nobilis,Carlos Calle Quispe,2018-07-30,2018,5.0,29,South America
346848381,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,1600,400 mm,Flash did not fire,f/6.3,1/40 sec,1996 pixels x 1496 pixels,1.12 MB,,,,,Buff-fronted Owl,Aegolius harrisii,Dušan Brinkhuizen,2021-06-06,2021,5.0,29,South America
610869746,NIKON D7200,,2000,410 mm,Flash did not fire,f/5.6,1/200 sec,5436 pixels x 3624 pixels,14.58 MB,,,,,Eye-ringed Tody-Tyrant,Hemitriccus orbitatus,Guilherme  Willrich,2023-11-07,2023,5.0,28,South America
39845511,Canon EOS REBEL T5,,800,300 mm,"Flash did not fire, auto",f/7.1,1/1250 sec,3984 pixels x 2689 pixels,1.77 MB,,,,,Red-legged Cormorant,Poikilocarbo gaimardi,Matías Garrido 🐧,2016-11-12,2016,5.0,30,South America
39946761,NIKON D500,,450,260 mm,Flash did not fire,f/5.6,1/400 sec,4010 pixels x 2673 pixels,2.58 MB,,,,,Red-legged Seriema,Cariama cristata,Brian Henderson,2016-09-03,2016,5.0,30,South America
610841263,NIKON D500,60.0-600.0 mm f/4.5-6.3,250,600 mm,Flash did not fire,f/8.0,1/3200 sec,2000 pixels x 1333 pixels,332.92 KB,,,,,Andean Gull,Chroicocephalus serranus,Pablo Ramos,2023-10-14,2023,5.0,28,South America
512323911,NIKON D500,300.0 mm f/4.0,2500,420 mm,Flash did not fire,f/5.6,1/1000 sec,4028 pixels x 2685 pixels,5.93 MB,,,,,Yellow-rumped Cacique,Cacicus cela,Charlie Bostwick,2022-01-06,2022,5.0,27,South America
612813697,DSC-RX10M4,24-600mm F2.4-4.0,800,220 mm,"Flash did not fire, auto",f/4.0,1/250 sec,5472 pixels x 3648 pixels,6.38 MB,,,,,Smooth-billed Ani,Crotophaga ani,Daysy Vera Castro,2023-12-29,2023,5.0,27,South America
540605901,NIKON D780,VR 200-500mm f/5.6E,2500,480 mm,Flash did not fire,f/6.3,1/400 sec,3835 pixels x 2552 pixels,1.41 MB,,,,,Black-capped Tanager,Stilpnia heinei,Hannes Leonard,2023-01-19,2023,5.0,28,South America
204110471,Canon EOS-1D X,EF500mm f/4L IS II USM +1.4x III,2500,700 mm,"Flash did not fire, auto",f/6.3,1/2000 sec,1200 pixels x 799 pixels,645.96 KB,,,,,Hooded Grebe,Podiceps gallardoi,Janos  Olah,2018-11-16,2018,5.0,28,South America
442495401,NIKON D850,500.0 mm f/4.0,100,700 mm,Flash did not fire,f/6.3,1/800 sec,3805 pixels x 2537 pixels,5.13 MB,,,,,Yellow-billed Tit-Tyrant,Anairetes flavirostris,Fernando Saravia,2022-04-30,2022,5.0,28,South America
622728122,ILCE-6700,FE 200-600mm F5.6-6.3 G OSS,500,600 mm,Flash did not fire,f/6.3,1/500 sec,3859 pixels x 2588 pixels,3.13 MB,,,,,Coppersmith Barbet,Psilopogon haemacephalus,John Russell,2024-08-20,2024,5.0,62,Asia
274470861,NIKON D850,500.0 mm f/5.6,1600,500 mm,Flash did not fire,f/7.1,1/250 sec,8256 pixels x 5504 pixels,6.8 MB,,,,,Northern Saw-whet Owl,Aegolius acadicus,Russ Smith,2020-10-25,2020,5.0,29,North America
473347151,Canon EOS R7,EF500mm f/4L IS II USM +1.4x III,2500,700 mm,Flash did not fire,f/5.6,1/2000 sec,3840 pixels x 2560 pixels,4.23 MB,,,,,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Frédérick Lelièvre,2022-07-25,2022,5.0,75,North America
116525171,NIKON D7200,200.0-500.0 mm f/5.6,640,500 mm,"Flash did not fire, auto",f/5.6,0.01 sec,2831 pixels x 1887 pixels,2.83 MB,,,,,Black-crested Coquette,Lophornis helenae,Carlos Echeverría,2018-09-25,2018,5.0,29,North America
78619631,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,250,300 mm,"Flash did not fire, auto",f/6.3,1/800 sec,3229 pixels x 1874 pixels,3.22 MB,,,,,Nazca Booby,Sula granti,Tom Benson,2017-12-16,2017,5.0,29,North America
612605619,NIKON D500,150.0-600.0 mm f/5.0-6.3,1100,440 mm,Flash did not fire,f/6.0,0.01 sec,4128 pixels x 2863 pixels,6.95 MB,,,,,Barred Owl,Strix varia,Kyle  Swanson,2023-12-23,2023,5.0,29,North America
248970791,NIKON D500,200.0-500.0 mm f/5.6,1000,500 mm,Flash did not fire,f/8.0,0.02 sec,4009 pixels x 2673 pixels,5.51 MB,,,,,Ferruginous Flycatcher,Muscicapa ferruginea,Cheng-Ru Tsai,2020-07-12,2020,5.0,65,Asia
279457441,Canon EOS 90D,EF600mm f/4L IS III USM,1600,600 mm,Flash did not fire,f/4.5,1/640 sec,3500 pixels x 2333 pixels,4.39 MB,,,,,Carolina Wren,Thryothorus ludovicianus,Paul Jones,2020-11-12,2020,5.0,29,North America
426078561,OM-1,OLYMPUS M.300mm F4.0,320,300 mm,Flash did not fire,f/4.0,1/250 sec,2862 pixels x 2147 pixels,5.4 MB,,,,,Anna's Hummingbird,Calypte anna,Steven Hunter,2022-03-17,2022,5.0,29,North America
428191671,NIKON D500,500.0 mm f/5.6,560,500 mm,Flash did not fire,f/5.6,1/1600 sec,2910 pixels x 1940 pixels,4.33 MB,,,,,Purple Sandpiper,Calidris maritima,David Turgeon,2022-03-23,2022,5.0,59,North America
286025011,Canon EOS REBEL T7i,EF100-400mm f/4.5-5.6L IS II USM,500,400 mm,Flash did not fire,f/7.1,1/1000 sec,4089 pixels x 2726 pixels,4.39 MB,,,,,Carolina Chickadee,Poecile carolinensis,Martina Nordstrand,2020-12-06,2020,5.0,29,North America
345075881,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM +1.4x III,2500,437 mm,Flash did not fire,f/10.0,1/1600 sec,4590 pixels x 2405 pixels,1.71 MB,,,,,White-rumped Sandpiper,Calidris fuscicollis,Caleb Putnam,2021-05-25,2021,5.0,29,North America
526180591,NIKON D500,500.0 mm f/5.6,1250,500 mm,Flash did not fire,f/5.6,1/1250 sec,3820 pixels x 2777 pixels,7.72 MB,,,,,Ruffed Grouse,Bonasa umbellus,Annie Lavoie,2023-01-20,2023,5.0,29,North America
93682461,Canon EOS 7D Mark II,EF400mm f/5.6L USM,640,400 mm,"Flash did not fire, auto",f/8.0,1/2000 sec,4833 pixels x 3222 pixels,2.54 MB,,,,,Razorbill,Alca torda,Keenan Yakola,2017-07-03,2017,5.0,60,North America
424032801,Canon EOS 70D,EF400mm f/5.6L USM,320,400 mm,Flash did not fire,f/6.3,1/500 sec,3637 pixels x 2425 pixels,1.33 MB,,,,,Bald Eagle,Haliaeetus leucocephalus,Yousif Attia,2020-12-20,2020,5.0,60,North America
604971121,NIKON D500,500.0 mm f/5.6,640,500 mm,Flash did not fire,f/5.6,1/800 sec,5319 pixels x 3546 pixels,10.72 MB,,,,,Merlin,Falco columbarius,Amanda Guercio,2023-08-11,2023,5.0,60,North America
97635141,Canon EOS 80D,EF300mm f/4L IS USM,125,300 mm,,f/8.0,1/500 sec,5322 pixels x 3547 pixels,6.02 MB,,,,,Laughing Gull,Leucophaeus atricilla,Joseph Bourget,2018-04-28,2018,5.0,60,North America
330952391,NIKON D7100,200.0-500.0 mm f/5.6,1000,440 mm,Flash did not fire,f/6.3,1/400 sec,3330 pixels x 2220 pixels,2.03 MB,,,,,Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,Poojan Gohil,2021-04-11,2021,5.0,96,Asia
205090451,Canon EOS-1D X Mark II,,640,600 mm,"Flash did not fire, auto",f/6.3,1/3200 sec,2100 pixels x 1400 pixels,451.48 KB,,,,,Spectacled Eider,Somateria fischeri,Daniel Pettersson,2016-06-16,2016,5.0,72,North America
441904641,NIKON D7200,,500,500 mm,Flash did not fire,f/5.6,1/640 sec,5749 pixels x 3728 pixels,3.3 MB,,,,,Eurasian Nightjar,Caprimulgus europaeus,Shlomi Segall,2022-04-30,2022,5.0,67,Asia
166860641,Canon EOS 7D Mark II,EF400mm f/5.6L USM,1250,400 mm,"Flash did not fire, auto",f/5.6,1/2500 sec,3137 pixels x 2091 pixels,528.26 KB,,,,,Pectoral Sandpiper,Calidris melanotos,August Davidson-Onsgard,2019-06-22,2019,5.0,29,North America
546004041,ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,320,400 mm,Flash did not fire,f/10.0,1/500 sec,4427 pixels x 2952 pixels,1.17 MB,,,,,White-tailed Ptarmigan,Lagopus leucura,Andy Bankert,2023-03-14,2023,5.0,74,North America
517129771,NIKON D500,150.0-600.0 mm f/5.0-6.3,4500,600 mm,Flash did not fire,f/6.3,1/1250 sec,3962 pixels x 2637 pixels,5.54 MB,,,,,Orange-crowned Warbler,Leiothlypis celata,Adam Cunningham,2022-12-27,2022,5.0,74,North America
113691291,Canon EOS 7D Mark II,EF300mm f/4L IS USM,100,300 mm,"Flash did not fire, auto",f/5.6,1/1000 sec,5230 pixels x 3012 pixels,5.65 MB,,,,,Piping Plover,Charadrius melodus,Doug Hitchcox,2018-09-03,2018,5.0,77,North America
620143779,NIKON Z 8,AF-S NIKKOR 500mm f/5.6E PF ED VR,500,500 mm,Flash did not fire,f/5.6,1/2000 sec,3464 pixels x 2309 pixels,2.03 MB,,,,,Killdeer,Charadrius vociferus,Janet Hix,2024-06-07,2024,5.0,29,North America
619944587,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,1600,500 mm,Flash did not fire,f/7.1,1/2000 sec,6565 pixels x 4377 pixels,1.72 MB,,,,,Chestnut-sided Warbler,Setophaga pensylvanica,Jack Rogers,2024-06-01,2024,5.0,29,North America
614427469,NIKON Z 8,NIKKOR Z 800mm f/6.3 VR S,1000,800 mm,Flash did not fire,f/6.3,1/500 sec,1929 pixels x 1929 pixels,3.71 MB,,,,,Blue-crowned Hanging-Parrot,Loriculus galgulus,Yifei Zheng,2024-02-05,2024,5.0,46,Asia
619503963,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,2500,400 mm,Flash did not fire,f/5.6,1/60 sec,3246 pixels x 2597 pixels,7.7 MB,,,,,Wrenthrush,Zeledonia coronata,Josanel Sugasti -photographyandbirdingtourspanama,2024-04-08,2024,5.0,29,North America
614252241,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,1000,500 mm,Flash did not fire,f/7.1,1/640 sec,5026 pixels x 3819 pixels,5.83 MB,,,,,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Quinn Diaz,2024-01-30,2024,5.0,29,North America
612796474,NIKON D7500,200.0-500.0 mm f/5.6,3600,480 mm,Flash did not fire,f/6.3,1/500 sec,2900 pixels x 2320 pixels,4.51 MB,,,,,Ocellated Crake,Rufirallus schomburgkii,Andrés Paniagua,2023-12-29,2023,5.0,29,North America
609774667,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,200,360 mm,Flash did not fire,f/5.6,1/2000 sec,3382 pixels x 4509 pixels,6.18 MB,,,,,Rock Wren,Salpinctes obsoletus,Owen Woodhouse,2023-10-09,2023,5.0,29,North America
594320241,NIKON D500,,400,500 mm,Flash did not fire,f/5.6,1/1250 sec,3085 pixels x 2056 pixels,1.96 MB,,,,,Summer Tanager,Piranga rubra,Chris Rees,2023-07-15,2023,5.0,29,North America
592999641,Canon EOS 7D Mark II,EF400mm f/5.6L USM,400,400 mm,Flash did not fire,f/5.6,1/320 sec,4700 pixels x 3133 pixels,8.74 MB,,,,,California Quail,Callipepla californica,Rob Fowler,2023-07-10,2023,5.0,29,North America
613014980,Canon EOS R6,RF100-500mm F4.5-7.1 L IS USM,8000,500 mm,Flash did not fire,f/10.0,1/2500 sec,3558 pixels x 2372 pixels,1.11 MB,,,,,King Eider,Somateria spectabilis,Cesar Ponce,2024-01-02,2024,5.0,82,North America
261581391,Canon EOS 7D Mark II,EF400mm f/5.6L USM,800,400 mm,Flash did not fire,f/6.3,1/640 sec,3153 pixels x 2102 pixels,1.85 MB,,,,,Mourning Warbler,Geothlypis philadelphia,Davey Walters,2020-06-22,2020,5.0,84,North America
512695711,NIKON Z 9,AF-S NIKKOR 500mm f/5.6E PF ED VR,320,500 mm,Flash did not fire,f/5.6,1/1600 sec,3198 pixels x 2132 pixels,2.8 MB,,,,,Steppe Eagle,Aquila nipalensis,Sylvain Reyt,2022-11-22,2022,5.0,47,Asia
609645775,DSC-RX10M4,,320,220 mm,Flash did not fire,f/4.0,1/250 sec,3212 pixels x 2409 pixels,4.46 MB,,,,,Winter Wren,Troglodytes hiemalis,Stephen Hurst,2022-10-06,2022,5.0,80,North America
615203063,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,400,500 mm,Flash did not fire,f/7.1,1/2000 sec,4977 pixels x 3318 pixels,7.7 MB,,,,,Black-faced Spoonbill,Platalea minor,Ian Mo,2024-01-16,2024,5.0,54,Asia
622492996,Canon EOS R5,EF500mm f/4L IS USM,4000,500 mm,Flash did not fire,f/4.0,1/30 sec,8192 pixels x 5464 pixels,18.17 MB,,,,,Malayan Banded-Pitta,Hydrornis irena,Jan-Peter  Kelder,2024-08-11,2024,5.0,56,Asia
560893371,Canon EOS R10,EF300mm f/4L IS USM,1000,300 mm,Flash did not fire,f/8.0,1/400 sec,3191 pixels x 2553 pixels,3.69 MB,,,,,Virginia Rail,Rallus limicola,Karim Bouzidi,2023-04-18,2023,5.0,29,North America
541931671,NIKON D5,600.0 mm f/4.0,900,850 mm,Flash did not fire,f/5.6,1/1600 sec,2001 pixels x 2501 pixels,2.01 MB,,,,,Hooded Merganser,Lophodytes cucullatus,Jason Jablonski,2023-03-01,2023,5.0,29,North America
493506001,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1600,600 mm,Flash did not fire,f/7.1,1/400 sec,4780 pixels x 3142 pixels,2.5 MB,,,,,American Bittern,Botaurus lentiginosus,Nick  Waite,2022-10-13,2022,5.0,29,North America
608610650,ILCE-9,FE 200-600mm F5.6-6.3 G OSS,1250,600 mm,Flash did not fire,f/6.3,1/1000 sec,3137 pixels x 1930 pixels,1.94 MB,,,,,Red-breasted Nuthatch,Sitta canadensis,Derek Lecy,2023-09-07,2023,5.0,63,North America
340960471,NIKON D7500,,400,500 mm,Flash did not fire,f/5.6,1/8000 sec,5225 pixels x 3483 pixels,2.9 MB,,,,,White-tailed Ptarmigan,Lagopus leucura,Josiah Verbrugge,2021-01-30,2021,5.0,28,North America
300049031,NIKON D500,500.0 mm f/5.6,400,500 mm,Flash did not fire,f/5.6,1/1600 sec,5125 pixels x 3075 pixels,4.68 MB,,,,,Ridgway's Rail,Rallus obsoletus,Becky Matsubara,2021-01-21,2021,5.0,28,North America
27827981,Canon EOS 7D Mark II,EF400mm f/5.6L USM,640,400 mm,"Flash did not fire, auto",f/5.6,1/640 sec,3885 pixels x 2590 pixels,3.9 MB,,,,,Lawrence's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F2 backcross),Jonathan Eckerson,2016-04-29,2016,5.0,28,North America
129296431,NIKON D500,300.0 mm f/4.0,720,300 mm,Flash did not fire,f/5.6,1/1000 sec,1977 pixels x 1318 pixels,1.68 MB,,,,,Least Sandpiper,Calidris minutilla,Mike Stewart,2018-12-16,2018,5.0,28,North America
134148661,NIKON D500,TAMRON SP AF 150-600mm F5-6.3 VC USD A011N,800,600 mm,Flash did not fire,f/6.3,1/1600 sec,5568 pixels x 3712 pixels,11.46 MB,,,,,Western Cattle-Egret,Ardea ibis,Levi Plummer,2018-12-31,2018,5.0,28,North America
256792161,NIKON D850,500.0 mm f/5.6,200,700 mm,Flash did not fire,f/8.0,1/800 sec,4093 pixels x 2782 pixels,5.18 MB,,,,,Common Nighthawk,Chordeiles minor,Jim Merritt,2020-08-20,2020,5.0,28,North America
21882741,Canon EOS 6D,EF100-400mm f/4.5-5.6L IS USM,800,400 mm,"Flash did not fire, auto",f/5.6,1/160 sec,4323 pixels x 3501 pixels,2.22 MB,,,,,Barred Owl,Strix varia,Phillip Odum,2015-12-10,2015,5.0,27,North America
322850451,Canon EOS Rebel T7i,EF400mm f/5.6L USM,500,400 mm,Flash did not fire,f/5.6,1/1600 sec,3151 pixels x 2101 pixels,1.03 MB,,,,,Wood Duck,Aix sponsa,Andrew Marden,2021-04-03,2021,5.0,27,North America
444962691,NIKON D5300,,720,300 mm,Flash did not fire,f/4.0,21051/21050999 sec,3112 pixels x 2075 pixels,1.76 MB,,,,,Henslow's Sparrow,Centronyx henslowii,Ezra J. Campanelli,2022-05-06,2022,5.0,27,North America
562364931,NIKON Z 9,NIKKOR Z 100-400mm f/4.5-5.6 VR S,1800,400 mm,Flash did not fire,f/7.1,1/2000 sec,2704 pixels x 1803 pixels,3.34 MB,,,,,Greater Prairie-Chicken,Tympanuchus cupido,Nina Hale,2023-04-23,2023,5.0,27,North America
264402101,NIKON D500,500.0 mm f/4.0,640,500 mm,Flash did not fire,f/4.0,1/60 sec,1536 pixels x 2048 pixels,2 MB,,,,,Bare-shanked Screech-Owl,Megascops clarkii,Fernando Burgalin Sequeria,2020-09-19,2020,5.0,28,North America
603188401,ILCE-1,Sony FE 200–600mm F5.6–6.3 G OSS (SEL200600G),3200,205 mm,Flash did not fire,f/5.6,1/125 sec,3000 pixels x 2000 pixels,5.77 MB,,,,,Barred Owl,Strix varia,David Mou,2023-07-23,2023,5.0,28,North America
613922414,NIKON Z 8,VR 200-500mm f/5.6E,4000,460 mm,Flash did not fire,f/5.6,1/2000 sec,6730 pixels x 4807 pixels,4.67 MB,,,,,White-crowned Sparrow,Zonotrichia leucophrys,Barbara Swanson,2024-01-23,2024,5.0,28,North America
616900246,Canon EOS 60D,TAMRON SP 200-500mm F/5-6.3 Di A08E,2000,295 mm,Flash did not fire,f/5.6,1/800 sec,3503 pixels x 2514 pixels,2.47 MB,,,,,Sharp-tailed Grouse,Tympanuchus phasianellus,Darren Pendleton,2024-04-04,2024,5.0,28,North America
625400427,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,5000,500 mm,Flash did not fire,f/7.1,1/400 sec,5171 pixels x 3700 pixels,5.63 MB,,,,,Golden-crowned Sparrow,Zonotrichia atricapilla,Gavin Aquila,2024-10-25,2024,5.0,28,North America
478299371,Canon EOS R5,EF300mm f/4L IS USM,500,300 mm,Flash did not fire,f/4.5,1/800 sec,2049 pixels x 1364 pixels,888.49 KB,,,,,Parakeet Auklet,Aethia psittacula,Nathan Goldberg,2022-08-16,2022,5.0,62,North America
329841911,NIKON D500,,800,500 mm,Flash did not fire,f/7.1,1/2500 sec,3000 pixels x 2400 pixels,2.53 MB,,,,,Yellow-browed Warbler,Phylloscopus inornatus,Ed McAskill,2021-04-24,2021,5.0,28,North America
376710601,NIKON D500,500.0 mm f/5.6,1250,500 mm,Flash did not fire,f/5.6,1/250 sec,3427 pixels x 2312 pixels,5.24 MB,,,,,White-throated Sparrow,Zonotrichia albicollis,Jocelyn  Anderson,2021-10-09,2021,5.0,28,North America
394106191,Canon EOS 7D Mark II,Canon EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,Flash did not fire,f/5.6,1/250 sec,5070 pixels x 3298 pixels,7.87 MB,,,,,Rock Sandpiper,Calidris ptilocnemis,Will Sweet,2021-12-04,2021,5.0,28,North America
624857026,NIKON D500,200.0-500.0 mm f/5.6,800,500 mm,Flash did not fire,f/6.3,1/800 sec,3201 pixels x 2134 pixels,3.22 MB,,,,,Scissor-tailed Flycatcher,Tyrannus forficatus,Beau Cotter,2024-10-12,2024,5.0,27,North America
338071601,NIKON D7500,200.0-500.0 mm f/5.6,250,500 mm,Flash did not fire,f/5.6,1/2000 sec,2321 pixels x 1730 pixels,3.87 MB,,,,,Ruby-throated Hummingbird,Archilochus colubris,Bob Reiter,2021-05-14,2021,5.0,27,North America
